"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS14850",199,198,449,59,45,73
"PA14_RS14855",915,1001,2196,217,184,198
"PA14_RS14860",960,1159,1923,114,89,94
"PA14_RS14865",794,985,1747,121,65,83
"PA14_RS14870",126,124,125,34,18,35
"PA14_RS14875",347,295,696,122,93,99
"PA14_RS14880",2128,1596,2527,73,54,89
"PA14_RS14885",1118,965,2093,197,143,167
"PA14_RS14890",829,814,1791,178,114,175
"PA14_RS14895",998,1009,3518,205,143,168
"PA14_RS14900",1122,1189,4078,324,212,272
"PA14_RS14905",61,74,246,13,5,13
"PA14_RS14910",699,793,2505,227,154,201
"PA14_RS14915",568,522,1384,100,66,68
"PA14_RS14920",533,561,1299,121,89,102
"PA14_RS14925",312,285,599,71,66,66
"PA14_RS14930",158,204,399,54,52,38
"PA14_RS14935",333,351,827,61,69,70
"PA14_RS14940",342,384,1034,86,60,101
"PA14_RS14945",843,869,2823,260,186,220
"PA14_RS14950",1520,1375,4129,355,291,310
"PA14_RS14955",1072,966,2014,192,134,172
"PA14_RS14960",140,92,272,34,31,44
"PA14_RS14965",20,20,55,7,5,8
"PA14_RS14970",150,129,299,45,19,35
"PA14_RS31655",60,42,121,5,4,5
"PA14_RS14980",722,592,1104,150,129,165
"PA14_RS14985",558,336,597,101,89,106
"PA14_RS14990",340,273,475,65,54,101
"PA14_RS14995",1384,1248,2285,448,456,557
"PA14_RS15000",281,177,522,63,29,61
"PA14_RS15005",145,80,131,107,81,98
"PA14_RS15010",219,176,263,149,117,152
"PA14_RS15015",54,46,69,6,8,10
"PA14_RS15020",10,12,29,9,5,3
"PA14_RS15025",14,9,28,5,0,2
"PA14_RS15030",410,562,589,81,86,103
"PA14_RS15035",146,104,215,15,12,31
"PA14_RS15040",89,53,110,18,29,75
"PA14_RS15045",63,55,76,30,30,40
"PA14_RS15050",186,158,267,71,79,104
"PA14_RS15055",246,212,361,72,109,117
"PA14_RS15060",37,38,33,143,195,309
"PA14_RS15065",12,10,5,77,119,141
"PA14_RS15070",17,25,16,125,201,315
"PA14_RS15075",97,89,111,320,435,497
"PA14_RS15080",12,8,10,239,333,380
"PA14_RS15085",242,176,152,1664,2527,3125
"PA14_RS15090",1212,641,435,2890,2511,4002
"PA14_RS15095",581,184,201,1131,960,1288
"PA14_RS15100",1023,106,626,2459,1871,2069
"PA14_RS15105",495,187,466,1408,1123,1183
"PA14_RS15110",181,241,215,85,109,107
"PA14_RS15115",572,1312,423,315,407,379
"PA14_RS15120",576,1147,620,137,260,144
"PA14_RS15125",74,70,75,86,94,120
"PA14_RS15130",44,40,35,43,56,67
"PA14_RS15135",278,200,213,38,50,134
"PA14_RS15140",347,230,320,611,789,2052
"PA14_RS15145",229,274,269,291,402,301
"PA14_RS15150",308,293,303,296,352,369
"PA14_RS15155",127,128,123,137,170,174
"PA14_RS15160",162,159,185,157,186,157
"PA14_RS15165",53,41,46,27,34,37
"PA14_RS15170",74,54,67,23,34,29
"PA14_RS15175",27,22,32,22,25,18
"PA14_RS15180",9,12,17,22,30,26
"PA14_RS15185",28,28,42,16,24,30
"PA14_RS15190",60,32,65,20,34,35
"PA14_RS15195",177,132,238,73,70,82
"PA14_RS15200",60,70,120,26,21,34
"PA14_RS15205",68,68,67,45,26,47
"PA14_RS15210",56,58,46,23,41,27
"PA14_RS15215",78,68,62,38,42,51
"PA14_RS15220",94,62,91,103,130,109
"PA14_RS15225",184,91,171,122,149,124
"PA14_RS15230",65,56,67,65,77,84
"PA14_RS15235",50,27,34,35,49,53
"PA14_RS15240",50,35,31,42,37,61
"PA14_RS15245",23,29,19,20,24,25
"PA14_RS15250",14,12,10,39,37,43
"PA14_RS15255",120,106,143,306,348,362
"PA14_RS15260",23,26,19,48,60,56
"PA14_RS15265",15,9,13,6,12,18
"PA14_RS15270",24,16,11,14,18,21
"PA14_RS15275",23,8,15,14,16,14
"PA14_RS15280",34,19,22,32,32,32
"PA14_RS15285",136,104,125,82,118,127
"PA14_RS15290",196,168,184,129,178,168
"PA14_RS15295",86,95,98,22,28,39
"PA14_RS15300",150,129,101,34,48,64
"PA14_RS15305",162,137,139,88,130,125
"PA14_RS15310",137,108,136,74,91,83
"PA14_RS15315",215,179,205,73,80,86
"PA14_RS15320",581,470,662,116,125,101
"PA14_RS15325",145,83,112,60,51,79
"PA14_RS15330",156,111,156,141,113,151
"PA14_RS31420",37,23,21,19,21,17
"PA14_RS15335",628,473,511,316,279,325
"PA14_RS15340",1640,1384,2110,916,852,1005
"PA14_RS15345",297,220,315,146,160,211
"PA14_RS15350",1602,1868,1304,61,84,81
"PA14_RS15355",701,685,511,45,53,68
"PA14_RS15360",538,488,461,55,65,91
"PA14_RS15365",470,451,365,115,140,132
"PA14_RS15370",127,89,118,88,92,104
"PA14_RS15375",79,93,70,59,66,64
"PA14_RS15380",317,284,356,342,450,346
"PA14_RS15385",536,255,396,284,264,318
"PA14_RS15390",73,53,50,61,62,89
"PA14_RS15395",14,8,17,5,5,13
"PA14_RS15400",21,14,28,29,26,34
"PA14_RS15405",67,38,53,29,43,40
"PA14_RS15410",116,95,125,100,86,136
"PA14_RS15415",142,119,138,80,95,119
"PA14_RS15420",62,54,65,57,72,93
"PA14_RS15425",56,67,85,103,107,145
"PA14_RS15430",40,30,44,41,41,53
"PA14_RS15435",88,43,46,103,113,131
"PA14_RS15440",27,16,36,34,40,48
"PA14_RS15445",66,34,36,22,22,38
"PA14_RS15455",1185,1218,1537,845,956,877
"PA14_RS15460",483,464,615,226,226,283
"PA14_RS15465",538,474,477,343,381,441
"PA14_RS15470",620,599,815,273,256,282
"PA14_RS15475",286,222,244,202,210,239
"PA14_RS15480",777,831,902,868,1073,1073
"PA14_RS15485",440,429,529,503,600,598
"PA14_RS15490",974,1032,1478,973,1022,797
"PA14_RS15495",117,77,94,69,86,134
"PA14_RS15500",363,297,331,437,573,598
"PA14_RS15505",58,56,60,51,37,41
"PA14_RS15510",41,43,34,25,19,26
"PA14_RS15515",116,96,103,4,4,0
"PA14_RS15520",3,6,5,31,43,50
"PA14_RS15525",272,244,209,330,366,389
"PA14_RS15530",97,81,70,65,71,69
"PA14_RS15535",109,80,84,30,49,51
"PA14_RS15540",777,713,624,316,354,374
"PA14_RS15545",1596,1446,1064,63,61,75
"PA14_RS15550",1094,1214,811,78,93,106
"PA14_RS15555",404,371,280,111,110,109
"PA14_RS15560",79,69,52,32,44,44
"PA14_RS15565",58,52,57,23,29,33
"PA14_RS15570",566,932,648,210,224,231
"PA14_RS15575",2365,1991,2270,2142,2226,2628
"PA14_RS15580",318,227,372,265,184,314
"PA14_RS15585",4101,4081,7687,2218,2201,2090
"PA14_RS15590",186,146,227,96,126,89
"PA14_RS15595",145,143,245,75,66,65
"PA14_RS15600",545,375,563,290,357,322
"PA14_RS15605",219,197,235,43,47,60
"PA14_RS15610",624,649,561,124,180,181
"PA14_RS15615",258,183,254,172,199,240
"PA14_RS15620",38,30,30,34,34,51
"PA14_RS15625",207,137,159,199,218,285
"PA14_RS15630",185,101,142,254,354,337
"PA14_RS15635",31,13,31,68,47,64
"PA14_RS15640",231,138,172,342,361,348
"PA14_RS15645",304,208,269,253,250,280
"PA14_RS15650",164,177,196,130,151,151
"PA14_RS15655",89,89,76,55,79,82
"PA14_RS15660",82,83,69,56,58,63
"PA14_RS15665",61,52,46,48,61,51
"PA14_RS15670",61,53,49,51,52,49
"PA14_RS15675",821,742,810,547,637,672
"PA14_RS15680",793,682,681,65,71,80
"PA14_RS15685",158,114,243,119,117,148
"PA14_RS15690",201,142,208,179,178,208
"PA14_RS15695",277,281,300,355,419,440
"PA14_RS15700",30,29,28,36,32,33
"PA14_RS15705",64,34,50,34,60,56
"PA14_RS15710",173,144,144,162,216,220
"PA14_RS15715",584,462,500,608,720,886
"PA14_RS15720",238,175,248,220,232,258
"PA14_RS15725",353,255,373,280,306,310
"PA14_RS15730",245,226,228,212,211,260
"PA14_RS15735",405,416,455,342,402,377
"PA14_RS15740",504,682,643,506,599,512
"PA14_RS15745",522,499,444,513,580,505
"PA14_RS15750",618,1529,947,491,677,608
"PA14_RS15755",471,1007,651,369,469,394
"PA14_RS15760",58,99,69,44,38,45
"PA14_RS15765",428,744,805,359,393,260
"PA14_RS15770",753,873,1418,597,533,395
"PA14_RS15775",585,542,637,290,294,275
"PA14_RS15780",1174,3533,1348,1658,1462,1104
"PA14_RS15785",280,920,601,23,18,16
"PA14_RS15790",1867,6920,1794,77,103,98
"PA14_RS15795",241,900,315,29,36,25
"PA14_RS15800",311,746,812,73,57,38
"PA14_RS15805",533,385,1439,125,60,55
"PA14_RS31425",661,363,1109,90,55,31
"PA14_RS15810",533,439,413,171,143,122
"PA14_RS15815",248,334,318,265,184,144
"PA14_RS15820",173,270,163,211,235,184
"PA14_RS15825",78,107,78,129,137,80
"PA14_RS15830",47,234,50,44,39,35
"PA14_RS15835",521,465,495,1216,1486,1116
"PA14_RS15840",212,145,228,220,308,239
"PA14_RS15845",1032,965,1380,1656,1646,1272
"PA14_RS15850",62,62,59,9337,11179,12960
"PA14_RS15855",613,481,629,1929,2371,2437
"PA14_RS15860",193,136,192,334,350,380
"PA14_RS15865",754,755,792,614,575,575
"PA14_RS15870",866,839,914,485,462,468
"PA14_RS15875",490,340,370,307,354,351
"PA14_RS15885",1070,1026,1511,1668,1719,1613
"PA14_RS15890",547,574,409,655,725,846
"PA14_RS15895",44,29,40,24,40,27
"PA14_RS15900",245,257,242,154,178,150
"PA14_RS15905",325,351,431,159,215,179
"PA14_RS15910",648,644,1007,172,227,142
"PA14_RS15915",336,293,373,232,286,253
"PA14_RS15920",106,99,136,106,163,147
"PA14_RS15925",18,18,23,19,14,17
"PA14_RS15930",23,23,13,13,22,22
"PA14_RS15935",47,60,56,55,60,78
"PA14_RS15940",86,71,96,67,71,90
"PA14_RS15945",16,21,14,24,17,28
"PA14_RS15950",903,553,697,425,436,497
"PA14_RS15955",622,474,400,526,606,640
"PA14_RS15960",576,400,391,501,495,522
"PA14_RS15965",317,212,190,236,215,235
"PA14_RS15970",500,394,382,397,435,395
"PA14_RS15975",805,490,597,598,615,646
"PA14_RS15980",335,219,324,359,267,329
"PA14_RS15985",985,741,787,948,1017,1152
"PA14_RS15990",466,327,372,568,603,666
"PA14_RS31660",20,25,25,15406,17615,20718
"PA14_RS15995",760,820,549,2091,2364,2890
"PA14_RS16000",431,397,304,261,248,296
"PA14_RS30595",3,0,3,1,2,4
"PA14_RS16005",2,3,1,8,8,13
"PA14_RS16010",67,61,77,50,78,66
"PA14_RS16015",819,788,1615,253,216,238
"PA14_RS16020",319,307,556,121,105,145
"PA14_RS16025",273,182,345,87,85,99
"PA14_RS31780",222,126,126,154,105,173
"PA14_RS31785",696,424,560,159,158,196
"PA14_RS16035",164,120,117,181,240,188
"PA14_RS16040",129,102,150,178,198,223
"PA14_RS16045",453,327,459,2181,2092,2440
"PA14_RS16050",1001,977,1303,1051,1209,1038
"PA14_RS16055",35,25,36,19,20,25
"PA14_RS16060",14,16,11,12,20,24
"PA14_RS16065",122,94,143,78,76,94
"PA14_RS16070",46,30,40,24,53,51
"PA14_RS16075",97,76,180,42,36,49
"PA14_RS16080",110,89,99,131,192,231
"PA14_RS16085",23,11,40,23,52,32
"PA14_RS16090",100,43,99,73,126,131
"PA14_RS16095",52,34,43,52,64,74
"PA14_RS16100",6,13,6,5,18,15
"PA14_RS16105",79,49,52,79,61,89
"PA14_RS16110",519,373,416,445,571,570
"PA14_RS16115",962,775,627,22,32,31
"PA14_RS16120",873,662,634,421,560,549
"PA14_RS16125",91,51,61,60,99,88
"PA14_RS16130",49,40,50,34,40,51
"PA14_RS16135",104,86,144,76,88,113
"PA14_RS16140",31,14,29,28,43,47
"PA14_RS16145",2,1,1,1,2,3
"PA14_RS16150",41,26,59,21,35,48
"PA14_RS16155",439,178,246,38,47,56
"PA14_RS16160",376,186,184,164,204,185
"PA14_RS16165",313,127,90,66,50,59
"PA14_RS16170",701,340,215,31,59,33
"PA14_RS16175",1205,523,501,64,84,95
"PA14_RS16180",265,168,101,14,11,6
"PA14_RS16185",726,345,328,41,45,44
"PA14_RS16190",978,383,455,7,12,17
"PA14_RS16195",320,151,116,9,5,13
"PA14_RS16200",683,449,474,79,79,78
"PA14_RS16205",1687,1131,925,28,33,40
"PA14_RS16210",1058,750,429,29,22,37
"PA14_RS16215",992,665,542,63,61,104
"PA14_RS16220",1594,904,834,25,24,27
"PA14_RS16225",2063,1277,1011,82,126,146
"PA14_RS16230",365,282,230,22,30,36
"PA14_RS16235",97,92,103,18,16,17
"PA14_RS16240",629,685,905,482,551,581
"PA14_RS31705",447,442,759,350,314,358
"PA14_RS31710",237,204,330,161,253,217
"PA14_RS16255",211,184,194,1,1,2
"PA14_RS16260",179,126,100,2,5,1
"PA14_RS16265",789,676,834,663,836,922
"PA14_RS16270",89,68,87,149,163,210
"PA14_RS16275",174,111,157,251,261,272
"PA14_RS16280",82,54,65,75,92,89
"PA14_RS16285",83,56,53,47,41,39
"PA14_RS16290",523,491,406,202,208,212
"PA14_RS16295",2998,2946,2787,1056,1142,1177
"PA14_RS16300",290,242,388,141,145,118
"PA14_RS16305",1031,716,1221,257,242,218
"PA14_RS16310",1903,1412,2097,151,156,156
"PA14_RS16315",3653,2576,4429,67,87,72
"PA14_RS16320",3716,2273,4168,149,165,169
"PA14_RS16325",24357,14513,24582,824,895,956
"PA14_RS16330",96,84,116,48,47,55
"PA14_RS16335",739,617,671,1103,1299,1469
"PA14_RS16340",754,563,716,406,448,530
"PA14_RS16345",376,338,570,26,17,33
"PA14_RS16350",2087,2148,2252,24,18,42
"PA14_RS16355",89,88,93,92,95,97
"PA14_RS16360",19,19,36,17,24,25
"PA14_RS16365",216,159,248,198,262,265
"PA14_RS16370",441,381,376,266,331,316
"PA14_RS16375",605,552,604,375,412,507
"PA14_RS16380",36,29,26,21,17,15
"PA14_RS16385",131,121,114,120,152,198
"PA14_RS16390",207,160,147,200,223,214
"PA14_RS16395",658,545,630,453,506,489
"PA14_RS16400",909,529,810,465,386,447
"PA14_RS16405",297,208,273,128,186,191
"PA14_RS16410",365,316,283,82,125,137
"PA14_RS16415",657,542,712,8,2,6
"PA14_RS16420",439,458,591,312,362,351
"PA14_RS16425",115,105,131,80,130,105
"PA14_RS16430",39,32,45,18,11,22
"PA14_RS16435",293,257,420,264,316,283
"PA14_RS16440",699,461,766,894,970,776
"PA14_RS16445",2207,982,2548,6314,7963,7458
"PA14_RS16450",270,219,263,433,544,587
"PA14_RS16455",303,265,294,240,265,290
"PA14_RS16460",14,19,9,27,13,29
"PA14_RS16465",78,69,94,158,186,179
"PA14_RS16470",964,1040,2224,1000,1201,1219
"PA14_RS16475",1407,1257,1587,1256,1448,1347
"PA14_RS16480",30,65,41,12,16,19
"PA14_RS16485",37,97,59,37,39,35
"PA14_RS16490",4104,3261,3864,4288,6921,6662
"PA14_RS16495",596,570,457,632,904,1015
"PA14_RS16500",836,713,759,726,908,978
"PA14_RS16505",723,517,778,635,772,729
"PA14_RS16510",824,758,1317,661,787,598
"PA14_RS16515",1744,970,1264,584,477,718
"PA14_RS16525",1934,878,1954,944,1369,1250
"PA14_RS16530",287,330,435,251,439,467
"PA14_RS16535",154,131,134,188,209,193
"PA14_RS16540",101,58,62,169,219,251
"PA14_RS16545",785,528,604,730,701,1019
"PA14_RS16550",2150,1747,1914,2536,2531,3245
"PA14_RS16555",862,758,986,1023,1010,1332
"PA14_RS16560",456,447,388,363,436,596
"PA14_RS16565",1475,956,799,971,1243,1679
"PA14_RS16570",221,196,185,144,169,180
"PA14_RS16575",346,325,290,292,357,428
"PA14_RS16580",65,45,65,57,65,61
"PA14_RS16585",306,280,288,255,307,263
"PA14_RS16590",352,257,311,256,354,298
"PA14_RS16595",413,372,318,455,547,499
"PA14_RS16600",1029,1037,828,1088,1252,1145
"PA14_RS16605",2651,2632,2463,2711,3433,3158
"PA14_RS16610",1268,1114,1273,1324,1582,1650
"PA14_RS16615",869,666,733,690,872,890
"PA14_RS16620",1359,1116,1158,885,1132,1156
"PA14_RS16625",1195,1123,1028,928,1041,1026
"PA14_RS16630",645,541,648,897,1028,1015
"PA14_RS16635",1093,968,1303,1211,1455,1263
"PA14_RS16640",607,597,772,542,615,566
"PA14_RS16645",1116,1004,1057,812,1061,1174
"PA14_RS16650",508,470,514,381,409,432
"PA14_RS16655",2179,2202,1967,1808,2174,1915
"PA14_RS16660",456,475,402,545,647,773
"PA14_RS16665",733,611,556,724,902,992
"PA14_RS16670",331,280,235,294,315,417
"PA14_RS16675",222,171,150,180,209,277
"PA14_RS16680",425,342,281,464,606,674
"PA14_RS16685",420,398,278,372,414,428
"PA14_RS16690",2386,2163,2043,2741,3602,3405
"PA14_RS16700",17217,12055,12655,10968,13904,13651
"PA14_RS16705",12363,9626,9529,11430,12721,14282
"PA14_RS16710",14389,12689,13896,13288,14949,17458
"PA14_RS16715",4365,3676,4909,3665,4236,4303
"PA14_RS16720",9821,10029,10694,8951,11198,9493
"PA14_RS16725",287,285,257,272,356,338
"PA14_RS16730",311,351,317,388,492,436
"PA14_RS16735",223,257,293,226,220,224
"PA14_RS16745",142,169,393,208,239,150
"PA14_RS16770",969,869,1073,723,944,824
"PA14_RS16775",3280,3238,3303,2483,3133,3231
"PA14_RS16780",2357,2456,2481,2090,2401,2545
"PA14_RS16785",1096,1089,900,1402,1645,1995
"PA14_RS16790",374,487,328,355,339,439
"PA14_RS16795",322,498,371,246,319,304
"PA14_RS16800",393,318,460,397,537,455
"PA14_RS16805",1712,1533,1029,1416,1536,3235
"PA14_RS16810",596,445,402,359,436,676
"PA14_RS16815",6268,5488,6441,7227,8074,6423
"PA14_RS16820",75,46,71,87,68,75
"PA14_RS16825",65,42,73,62,68,95
"PA14_RS16830",154,142,192,49,56,78
"PA14_RS16835",31,48,78,37,61,61
"PA14_RS16840",76,52,70,44,60,52
"PA14_RS16845",116,87,113,92,96,118
"PA14_RS16850",18,9,11,5,22,15
"PA14_RS16855",155,130,207,127,159,191
"PA14_RS16860",429,354,519,285,353,331
"PA14_RS16865",125938,118906,156075,92015,108637,110348
"PA14_RS16870",10931,8827,14419,8774,10137,9764
"PA14_RS16875",3880,2893,4344,6445,7232,7709
"PA14_RS16880",1084,685,1261,1565,1939,1903
"PA14_RS16885",775,593,869,625,765,781
"PA14_RS16890",1241,955,1172,418,464,496
"PA14_RS16895",308,317,316,102,123,107
"PA14_RS16900",8432,8690,9066,7417,8710,7655
"PA14_RS16910",1916,1398,2399,1362,1518,1560
"PA14_RS16915",1095,1004,1247,1000,1191,1076
"PA14_RS16920",2116,2344,2524,1780,1955,1886
"PA14_RS16925",2003,2420,2142,1293,1451,1442
"PA14_RS16930",184,139,128,137,143,160
"PA14_RS16935",135,95,104,98,105,106
"PA14_RS16940",189,103,91,143,152,180
"PA14_RS16945",290,188,219,342,302,390
"PA14_RS16950",500,323,287,472,410,491
"PA14_RS16955",2235,1220,1281,2034,1926,2042
"PA14_RS16960",2518,1803,1405,1960,2108,2575
"PA14_RS16965",731,608,679,936,999,956
"PA14_RS16970",312,252,291,280,394,388
"PA14_RS16975",1111,529,753,962,1182,942
"PA14_RS16980",245,138,227,731,831,836
"PA14_RS16985",2241,1664,2254,1763,1948,1887
"PA14_RS16990",937,667,899,575,569,677
"PA14_RS16995",1200,1006,1206,867,1010,950
"PA14_RS17000",354,259,255,276,346,344
"PA14_RS17010",2899,2799,3076,3136,3906,3608
"PA14_RS31430",1319,1177,1323,1469,1765,1815
"PA14_RS17020",1008,452,1195,1648,1266,1351
"PA14_RS17025",374,187,318,958,624,965
"PA14_RS17030",2017,2090,3554,4428,3650,4548
"PA14_RS17035",498,336,505,222,197,289
"PA14_RS17040",25,17,26,814,895,1125
"PA14_RS17045",31,25,33,730,739,964
"PA14_RS17050",442,394,334,1223,1245,1574
"PA14_RS17055",801,645,979,954,1051,1047
"PA14_RS17060",580,447,743,574,736,626
"PA14_RS17065",36,25,29,28,43,32
"PA14_RS17070",122,75,95,95,102,109
"PA14_RS17075",417,303,319,418,561,598
"PA14_RS17080",203,210,178,253,292,423
"PA14_RS17090",197,150,224,115,118,147
"PA14_RS17095",505,443,719,360,370,412
"PA14_RS17100",1209,816,1882,496,501,523
"PA14_RS17105",631,464,980,262,178,222
"PA14_RS17110",433,380,488,163,158,166
"PA14_RS17115",1035,871,1715,361,265,365
"PA14_RS17120",755,587,916,797,848,982
"PA14_RS17125",1665,1018,1860,1303,1057,1258
"PA14_RS17130",1400,1473,1824,813,1014,922
"PA14_RS17135",1074,1161,1056,605,764,665
"PA14_RS17140",97,104,83,219,280,256
"PA14_RS17145",39,39,44,129,188,176
"PA14_RS17150",102,153,109,258,336,358
"PA14_RS17155",36,45,47,109,118,130
"PA14_RS17160",40,46,29,106,118,160
"PA14_RS17165",65,63,26,159,197,219
"PA14_RS17170",26,45,33,76,106,140
"PA14_RS17175",6,4,13,31,33,46
"PA14_RS17180",167,182,127,519,660,624
"PA14_RS17185",207,273,212,995,1276,1108
"PA14_RS17190",37,49,59,349,399,353
"PA14_RS17195",479,534,487,2255,2977,2798
"PA14_RS17200",224,268,220,561,678,655
"PA14_RS17205",218,282,335,296,380,374
"PA14_RS17210",142,239,300,331,384,379
"PA14_RS17215",894,959,1052,769,920,903
"PA14_RS17220",295,406,281,1422,1707,1860
"PA14_RS17225",299,414,292,1953,2277,2529
"PA14_RS17230",58,100,58,378,500,455
"PA14_RS17235",162,171,167,706,859,837
"PA14_RS17240",32,58,34,251,345,317
"PA14_RS17245",45,37,48,46,104,119
"PA14_RS17250",235,294,208,756,1081,955
"PA14_RS17255",12,22,12,94,133,101
"PA14_RS17260",14,25,26,81,137,98
"PA14_RS17265",28,38,31,147,178,136
"PA14_RS17270",16,25,23,130,181,144
"PA14_RS17275",108,130,112,837,1034,961
"PA14_RS17280",63,120,100,503,630,487
"PA14_RS17285",8,28,18,194,236,228
"PA14_RS30640",47,63,47,417,494,480
"PA14_RS17295",22,58,22,131,199,214
"PA14_RS17300",17,23,16,52,97,94
"PA14_RS17305",4,10,8,20,39,40
"PA14_RS17310",23,43,35,53,76,92
"PA14_RS17315",97,82,89,154,203,225
"PA14_RS17320",1317,1430,1073,977,1428,1415
"PA14_RS17325",888,682,914,657,1149,859
"PA14_RS17330",453,412,552,325,434,349
"PA14_RS17335",939,752,774,773,957,1042
"PA14_RS17340",348,223,248,215,244,287
"PA14_RS17345",500,586,494,629,765,773
"PA14_RS17350",703,658,693,687,835,809
"PA14_RS17355",641,488,641,546,595,532
"PA14_RS17360",344,339,306,386,463,454
"PA14_RS17365",1718,1421,1747,2077,2536,2590
"PA14_RS17370",188,173,324,146,181,195
"PA14_RS17375",1305,1289,2399,985,1170,1143
"PA14_RS17380",1265,1054,1833,1271,1490,1325
"PA14_RS17385",767,612,712,977,1028,1012
"PA14_RS17390",126,138,162,189,199,192
"PA14_RS17395",433,332,474,445,470,446
"PA14_RS17400",1701,1530,1911,1518,1957,1748
"PA14_RS17405",801,671,311,343,420,1273
"PA14_RS17410",619,427,524,489,590,685
"PA14_RS17415",552,460,531,293,427,434
"PA14_RS17420",399,336,335,51,81,64
"PA14_RS17425",1223,1376,1215,210,272,311
"PA14_RS17430",196,214,199,39,45,49
"PA14_RS17435",544,578,544,114,133,165
"PA14_RS17440",159,207,184,33,21,27
"PA14_RS17445",537,536,522,40,31,34
"PA14_RS17450",55,97,58,0,6,1
"PA14_RS17455",641,759,688,44,55,71
"PA14_RS17460",1712,2044,1700,179,200,266
"PA14_RS17465",597,642,584,50,60,61
"PA14_RS17470",1112,1237,992,112,122,145
"PA14_RS31155",121,148,112,5,10,11
"PA14_RS17475",305,338,230,12,12,14
"PA14_RS17480",2295,3232,1860,103,110,120
"PA14_RS17485",882,1221,944,29,36,35
"PA14_RS17490",4402,3497,4286,81,78,122
"PA14_RS17495",294,115,124,18,20,18
"PA14_RS17500",362,198,241,62,80,88
"PA14_RS17505",171,92,126,0,2,0
"PA14_RS17510",1024,736,886,16,9,7
"PA14_RS30650",136,100,106,1,2,0
"PA14_RS17515",314,252,244,155,149,177
"PA14_RS17520",297,245,220,188,170,205
"PA14_RS17525",145,144,151,104,128,147
"PA14_RS17530",196,150,206,99,129,160
"PA14_RS17535",1595,1225,1368,139,184,170
"PA14_RS17540",591,468,537,210,216,212
"PA14_RS17545",109,104,110,75,102,98
"PA14_RS17550",177,132,175,104,104,147
"PA14_RS17555",557,500,321,286,356,681
"PA14_RS17560",674,351,395,440,533,775
"PA14_RS17565",286,335,286,279,344,343
"PA14_RS17570",351,408,366,437,484,529
"PA14_RS17575",568,488,443,360,462,497
"PA14_RS17580",1075,1025,991,947,1015,1084
"PA14_RS17585",960,815,922,927,1004,1117
"PA14_RS17590",167,114,197,171,137,155
"PA14_RS17595",707,844,774,808,975,909
"PA14_RS17600",561,919,677,357,439,444
"PA14_RS17605",146,150,166,155,202,151
"PA14_RS17610",248,232,256,259,340,307
"PA14_RS17615",550,473,565,480,525,520
"PA14_RS17620",14,13,12,12,11,13
"PA14_RS17625",44,33,55,50,74,72
"PA14_RS17630",28,27,37,180,222,275
"PA14_RS17635",0,2,0,2,1,3
"PA14_RS17640",300,228,228,86,76,103
"PA14_RS17645",166,135,124,118,140,146
"PA14_RS17650",78,59,58,57,67,64
"PA14_RS17655",137,99,114,205,199,199
"PA14_RS17660",142,99,116,137,146,207
"PA14_RS17665",149,158,134,118,156,150
"PA14_RS17670",555,460,615,326,412,395
"PA14_RS17675",848,762,814,949,1032,1081
"PA14_RS17680",821,629,725,798,882,995
"PA14_RS17685",328,333,356,434,576,476
"PA14_RS17690",466,403,455,804,997,928
"PA14_RS17695",66,93,82,349,503,422
"PA14_RS17700",399,455,488,1170,1599,1545
"PA14_RS17705",344,267,245,300,333,360
"PA14_RS17710",681,557,364,152,203,208
"PA14_RS17715",291,336,286,221,295,331
"PA14_RS17720",301,290,328,258,284,325
"PA14_RS17725",764,758,898,888,944,1003
"PA14_RS17730",806,839,746,617,662,707
"PA14_RS17735",217,278,207,160,212,197
"PA14_RS17740",1360,1315,1171,1331,1559,1405
"PA14_RS17745",5076,3359,4833,8793,9741,9455
"PA14_RS17750",8606,6886,7230,16248,18602,17393
"PA14_RS17755",497,452,677,907,990,881
"PA14_RS17760",166,125,154,376,418,474
"PA14_RS17765",97,121,164,46,59,55
"PA14_RS17770",501,414,656,225,249,322
"PA14_RS17775",297,282,248,261,410,595
"PA14_RS17780",213,170,193,112,111,169
"PA14_RS17785",13,18,19,44,26,30
"PA14_RS17790",108,109,105,235,199,169
"PA14_RS17795",138,116,114,153,200,203
"PA14_RS17800",281,216,287,323,376,432
"PA14_RS17805",231,212,220,330,299,332
"PA14_RS17810",322,324,436,686,589,803
"PA14_RS17815",541,482,438,2420,2217,3568
"PA14_RS17820",355,419,325,459,512,441
"PA14_RS17825",164,140,196,170,223,219
"PA14_RS17830",320,255,334,334,389,300
"PA14_RS17835",5997,5825,10911,3223,2875,3380
"PA14_RS17840",224,182,376,497,627,413
"PA14_RS17845",1323,1290,2170,2060,2099,2001
"PA14_RS17850",8423,9602,5760,5655,6982,8464
"PA14_RS17855",9680,11768,7947,7681,8695,10327
"PA14_RS17860",6181,7057,6106,8087,8429,8822
"PA14_RS17865",3584,4538,3906,4427,4758,5361
"PA14_RS17870",9816,10767,11297,10333,11840,12418
"PA14_RS17875",4804,5304,4756,5042,6052,5844
"PA14_RS17880",6352,7751,7945,7677,8085,6598
"PA14_RS17885",1467,1264,2275,1910,1853,1479
"PA14_RS17890",7963,5049,8094,7725,8447,7298
"PA14_RS17895",6978,5300,6986,9553,10794,8566
"PA14_RS17900",2097,1927,2066,1697,2196,2129
