"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS01005",138,78,234,103,99,151
"PA14_RS01010",216,274,237,88,119,277
"PA14_RS01015",258,390,254,85,113,357
"PA14_RS01020",917,362,689,220,271,456
"PA14_RS01025",520,182,484,669,699,639
"PA14_RS01030",125,62,151,118,57,61
"PA14_RS01035",14,6,21,13,8,20
"PA14_RS01040",122,79,198,122,73,134
"PA14_RS01045",163,111,325,157,88,143
"PA14_RS01050",76,45,211,94,74,96
"PA14_RS01055",179,104,317,167,145,178
"PA14_RS01060",94,40,108,77,79,65
"PA14_RS01065",139,83,177,113,103,120
"PA14_RS01070",206,160,195,194,230,250
"PA14_RS01075",206,209,205,142,170,151
"PA14_RS01080",67,39,42,37,58,62
"PA14_RS01085",104,79,71,86,74,80
"PA14_RS01090",55,60,34,33,38,55
"PA14_RS01095",34,27,24,31,41,41
"PA14_RS01100",73,45,66,62,64,75
"PA14_RS01105",117,106,116,79,125,106
"PA14_RS01110",282,256,309,282,362,372
"PA14_RS01115",54,33,34,44,62,68
"PA14_RS01120",69,40,51,48,49,53
"PA14_RS01125",98,80,86,100,96,106
"PA14_RS01130",166,112,212,80,108,104
"PA14_RS01135",394,352,393,230,255,306
"PA14_RS01140",191,167,195,130,136,170
"PA14_RS01145",123,105,136,68,102,109
"PA14_RS01150",441,374,435,366,454,470
"PA14_RS01155",65,35,56,93,116,95
"PA14_RS01160",79,69,50,50,54,49
"PA14_RS01165",310,238,273,146,184,141
"PA14_RS01170",36,40,44,31,40,38
"PA14_RS01175",65,52,55,70,83,77
"PA14_RS01180",90,65,83,122,108,130
"PA14_RS01185",138,107,138,169,196,212
"PA14_RS01190",50,40,57,40,27,52
"PA14_RS01195",91,51,79,83,103,95
"PA14_RS01200",285,213,243,218,304,255
"PA14_RS01205",75,67,75,71,78,75
"PA14_RS01210",40,28,26,50,69,36
"PA14_RS01215",531,431,501,689,819,672
"PA14_RS01220",157,98,95,83,103,97
"PA14_RS01225",212,145,209,140,188,169
"PA14_RS01230",326,241,246,203,238,235
"PA14_RS01235",903,513,735,485,501,569
"PA14_RS01240",95,70,98,1,2,1
"PA14_RS01245",29,21,28,27,28,23
"PA14_RS01250",162,109,145,142,153,151
"PA14_RS01255",207,214,207,328,311,421
"PA14_RS01260",641,502,529,553,699,727
"PA14_RS01265",1066,581,851,417,373,531
"PA14_RS01270",3,1,2,2,4,4
"PA14_RS01275",2,0,0,2,0,1
"PA14_RS01280",1,2,4,221,248,235
"PA14_RS29980",767,537,564,1,11,6
"PA14_RS01295",3069,2436,2716,52,70,51
"PA14_RS01300",172,89,156,0,1,1
"PA14_RS01305",1012,970,943,298,337,355
"PA14_RS01310",326,171,143,27,36,29
"PA14_RS01315",0,1,4,0,2,2
"PA14_RS01320",4,4,4,1,5,5
"PA14_RS01325",11,9,12,1,0,1
"PA14_RS01330",17,25,32,5,13,10
"PA14_RS01335",3,0,4,1,3,3
"PA14_RS01345",2883,2052,2437,3,4,6
"PA14_RS01355",1,2,3,5,2,6
"PA14_RS29985",5,1,1,1,4,1
"PA14_RS01360",1,1,3,0,5,0
"PA14_RS01365",1,0,4,2,0,1
"PA14_RS01370",1,3,1,2,3,3
"PA14_RS01375",4,13,4,2,4,0
"PA14_RS01380",2,3,1,3,0,2
"PA14_RS31330",1,0,0,0,0,0
"PA14_RS01385",6,6,8,2,3,2
"PA14_RS01390",6,1,1,2,2,2
"PA14_RS01395",6,3,4,18,15,16
"PA14_RS01400",0,2,1,9,4,11
"PA14_RS01405",0,0,0,0,1,2
"PA14_RS31735",0,1,0,0,0,0
"PA14_RS01425",1837,1546,1811,631,773,722
"PA14_RS01430",2269,1772,1756,659,1206,1290
"PA14_RS01435",1274,1061,1153,519,599,576
"PA14_RS01440",275,241,218,139,182,179
"PA14_RS01445",153,126,121,69,132,139
"PA14_RS01450",116,102,83,45,96,113
"PA14_RS01455",142,89,87,85,104,147
"PA14_RS01460",338,310,295,265,348,320
"PA14_RS01465",35,30,17,29,38,26
"PA14_RS01470",112,74,108,101,166,131
"PA14_RS01475",412,282,240,249,264,332
"PA14_RS01480",137,181,117,52,50,172
"PA14_RS01485",302,427,367,87,104,134
"PA14_RS01490",259,220,242,77,87,113
"PA14_RS01495",617,483,713,152,223,255
"PA14_RS01500",507,531,652,460,725,728
"PA14_RS01505",245,258,329,253,404,412
"PA14_RS01510",126,117,385,103,142,212
"PA14_RS01515",1301,312,1957,603,608,588
"PA14_RS01520",1227,445,567,276,272,280
"PA14_RS01525",751,771,799,609,727,646
"PA14_RS01530",3811,3327,4891,4054,4983,3915
"PA14_RS01535",126,83,97,55,70,54
"PA14_RS01540",65,52,53,44,72,57
"PA14_RS01545",282,217,236,176,252,321
"PA14_RS01550",678,646,757,398,478,483
"PA14_RS01555",1447,1260,1951,2037,1804,1006
"PA14_RS01560",578,512,581,537,646,601
"PA14_RS01565",83,58,62,66,65,81
"PA14_RS01570",246,193,192,180,248,408
"PA14_RS01575",260,198,187,186,311,414
"PA14_RS01580",2738,2062,2296,1872,2310,2740
"PA14_RS01585",1461,862,1118,799,891,1085
"PA14_RS01590",511,357,335,466,583,586
"PA14_RS01595",1422,1055,928,814,1156,1148
"PA14_RS01600",3321,2359,1804,2198,2348,2764
"PA14_RS01605",698,499,506,632,653,693
"PA14_RS01610",672,570,395,498,528,493
"PA14_RS01615",602,465,343,1064,1226,1305
"PA14_RS01620",1088,752,582,2363,3266,3178
"PA14_RS01625",430,236,441,304,310,336
"PA14_RS01630",1303,643,1023,932,900,1025
"PA14_RS01635",2337,1224,1857,1493,1462,1770
"PA14_RS01640",210,171,234,279,421,436
"PA14_RS01645",919,705,903,726,952,922
"PA14_RS01650",1250,908,1504,757,777,892
"PA14_RS01655",793,571,943,411,567,553
"PA14_RS01660",101,100,126,75,115,109
"PA14_RS01665",1263,871,1263,942,1011,1059
"PA14_RS01670",763,562,706,480,523,624
"PA14_RS01675",847,535,728,708,711,729
"PA14_RS01680",2563,1318,1451,1662,1792,2167
"PA14_RS01685",3393,2641,3369,4099,5300,4705
"PA14_RS01690",2163,1739,2416,1516,1802,1803
"PA14_RS01695",658,617,601,670,825,824
"PA14_RS01700",1060,876,1044,868,1136,1020
"PA14_RS01705",97,92,114,78,119,108
"PA14_RS01710",163,84,121,76,83,87
"PA14_RS01715",159,113,95,76,100,105
"PA14_RS01720",133,77,97,99,76,101
"PA14_RS01725",77,53,55,49,47,63
"PA14_RS01730",194,135,135,123,154,176
"PA14_RS01735",107,52,68,37,50,47
"PA14_RS01740",441,288,420,291,326,353
"PA14_RS01745",435,393,338,249,276,292
"PA14_RS01750",2067,1743,2124,1382,1338,1317
"PA14_RS01755",1514,1134,1712,1502,1755,1626
"PA14_RS01760",1932,1642,1810,1743,2160,2014
"PA14_RS01765",997,628,1066,460,438,491
"PA14_RS01770",759,718,759,366,412,408
"PA14_RS01775",333,310,230,138,138,189
"PA14_RS01780",585,688,488,278,395,411
"PA14_RS01785",383,333,309,316,405,452
"PA14_RS01790",2504,1755,1950,2070,2802,2795
"PA14_RS01795",6940,5744,5993,5466,7259,7428
"PA14_RS01800",1383,1511,1628,488,613,515
"PA14_RS01805",582,670,563,430,472,584
"PA14_RS01810",494,409,547,423,511,441
"PA14_RS01815",754,701,751,609,763,627
"PA14_RS01820",1707,1456,1862,1451,1685,1582
"PA14_RS01825",994,872,994,873,998,978
"PA14_RS01830",768,727,889,498,541,507
"PA14_RS01835",776,709,989,521,552,622
"PA14_RS01840",221,198,199,256,339,307
"PA14_RS01845",196,144,218,190,285,248
"PA14_RS01850",124,105,111,90,138,109
"PA14_RS01855",86,87,54,59,79,99
"PA14_RS01860",432,368,427,467,603,580
"PA14_RS01865",519,425,406,424,572,512
"PA14_RS01870",463,429,508,470,580,466
"PA14_RS01875",4724,4883,4019,3517,3894,3726
"PA14_RS01880",1674,1367,2244,1396,1627,1406
"PA14_RS01885",801,662,1246,334,225,377
"PA14_RS01890",625,394,600,471,606,489
"PA14_RS01895",1138,1030,1121,1230,1407,1472
"PA14_RS01900",226,165,195,318,381,315
"PA14_RS01905",381,304,305,507,605,733
"PA14_RS01910",605,512,459,451,561,588
"PA14_RS01915",461,426,346,1,1,1
"PA14_RS01920",1238,1006,1130,997,1040,1112
"PA14_RS01925",487,355,427,432,497,499
"PA14_RS01930",1476,1078,1344,1468,1882,1582
"PA14_RS01935",453,317,227,127,126,148
"PA14_RS01940",151,127,88,26,45,48
"PA14_RS01945",445,307,298,106,113,127
"PA14_RS01950",494,395,362,292,293,357
"PA14_RS01955",264,237,241,176,251,306
"PA14_RS01960",424,380,422,374,495,511
"PA14_RS01965",259,181,242,136,168,221
